[2021-11-15 19:02:11,984] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:02:11,990] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:02:22,552] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:02:22,559] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:02:38,676] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:02:38,681] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:04:29,440] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:04:29,448] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:07:01,193] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:07:01,213] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:15:06,248] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:15:06,255] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:15:46,808] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:15:46,814] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:19:15,018] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:19:15,027] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:20:49,079] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:20:49,084] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:21:20,466] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:21:20,472] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:23:05,634] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:23:05,641] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:23:57,486] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:23:57,494] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:24:22,626] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:24:22,632] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:24:38,640] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:24:38,648] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:25:10,550] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:25:10,556] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:25:27,097] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:25:27,104] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:26:09,626] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:26:09,632] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 19:27:32,181] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:27:32,190] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-15 19:27:58,347] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:27:58,354] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-15 19:28:16,140] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:28:16,146] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-15 19:28:36,115] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:28:36,124] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-15 19:32:30,479] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:32:30,485] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-15 19:32:47,774] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:32:47,780] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-15 19:34:25,069] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:34:25,076] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-15 19:48:37,171] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 19:48:37,177] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 56
[2021-11-16 16:31:01,289] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
